Reporter Country Code,Reporter Countries,pre_india_share,pre_from_india_t,pre_total_t,post_india_share,post_from_india_t,post_total_t,share_change,volume_change_t
104,Ireland,0.157078966160387,7358.995,49186.41,0.11954103718471899,8631.990000000002,72543.595,-0.037537928975668,1272.9950000000017
150,Netherlands (Kingdom of the),0.15690395425980624,103283.09,661358.56,0.22517219419541648,147472.135,654701.45,0.06826823993561024,44189.04500000001
80,Bosnia and Herzegovina,0.14074040789081727,1990.0,14252.02,0.11979797019284061,1660.63,13762.310000000001,-0.020942437697976657,-329.3699999999999
45,Comoros,0.13866030882430755,8909.84,64256.6,,,,,
1,Armenia,0.127747062654368,2498.2799999999997,19525.254999999997,0.17946058449745494,3433.955,19108.085,0.051713521843086946,935.6750000000002
99,Iceland,0.12712762833681399,429.95,3450.975,0.11500935612906496,408.15,3551.215,-0.012118272207749026,-21.80000000000001
81,Ghana,0.1216764424393352,145511.345,1199743.1749999998,0.04298647869898783,45984.78,1069749.87,-0.07868996374034737,-99526.565
146,Republic of Moldova,0.11885403268861049,2145.8,18565.934999999998,0.2603557612350017,4182.18,15735.150000000001,0.1415017285463912,2036.38
113,Kyrgyzstan,0.10079733376212117,1393.845,13727.939999999999,0.19997877507371606,3920.07,19520.79,0.09918144131159488,2526.2250000000004
211,Switzerland,0.09581897033264122,13480.654999999999,140680.78,0.0930887747050839,12438.545,134521.45500000002,-0.0027301956275573303,-1042.1099999999988
273,Montenegro,0.08610595954819045,297.29499999999996,3453.545,0.07837346562078747,233.985,3357.55,-0.007732493927402981,-63.309999999999945
162,Norway,0.08350239455726574,4331.975,52448.945,0.0782587188791462,4564.5650000000005,58318.83,-0.005243675678119536,232.59000000000015
26,Brunei Darussalam,0.07890217071201686,4474.225,56716.265,0.091443537968767,4504.950000000001,51435.465,0.012541367256750147,30.725000000000364
106,Italy,0.0741491471189697,27344.420000000002,449673.955,0.10090529236129278,44533.005,441957.78500000003,0.026756145242323087,17188.584999999995
84,Greece,0.07213022484741145,2882.4300000000003,43373.765,0.07662901361149826,3670.29,47999.035,0.004498788764086811,787.8599999999997
35,Cabo Verde,0.07039999966057349,5272.48,75634.505,,,,,
