Reporter Country Code,Reporter Countries,Commodity,mean_hhi,mean_shannon_h,mean_top_share,mean_eff_suppliers_hhi,mean_import_t,mean_idr,mean_idr_norm,mean_hhi_norm,risk_score
126,Lithuania,Maize,0.3077109309320564,1.3108474154494985,0.3838232705559656,3.3148403792179013,194944.03333333335,0.5786177006597463,0.5715518508156221,0.12975334120588455,0.2736111611534803
126,Lithuania,Rice,0.23389282372501954,1.965842940809776,0.4217196883376378,4.476147561429313,42363.496666666666,0.6623446516129269,0.6575242494685832,0.12681519271984248,0.2901196371439145
128,"China, Macao SAR",Maize,0.5524247664913111,0.7357249050699645,0.6226715978846182,2.045883811107014,2.8699999999999997,1.0,1.0,0.4405286711402071,0.6648083933069342
128,"China, Macao SAR",Rice,0.4606729676594676,1.0802177427590731,0.6259037935120156,2.171930635606561,55989.456666666665,0.9995623991011712,0.9995561518661691,0.44520246369991884,0.6681696042419132
128,"China, Macao SAR",Wheat,0.2912683317880527,1.6511935725664013,0.4795074709745373,3.454152838552151,10738.726666666667,0.9982111277160177,0.9981635328077739,0.12000556318430786,0.3477130224777717
129,Madagascar,Maize,0.6305654755382709,0.6104500001410705,0.6842757708514332,1.8142335616904617,1952.8366666666668,0.9484624913871684,0.947598296811913,0.5397637821418926,0.7162175666076388
129,Madagascar,Rice,0.6699724592132323,0.5906804251453684,0.7990205047857284,1.49421883968881,1165781.2333333334,0.9999810002305262,0.999980728987882,0.7390478276599259,0.860682063259675
129,Madagascar,Wheat,0.280787587867968,1.5043130153104076,0.3994713381632435,3.777767357427043,277957.20666666667,0.9998771669509271,0.9998738988429955,0.10658987073989871,0.32815224119828335
130,Malawi,Rice,0.26198423194982895,1.4883144297454522,0.3442203381063132,3.8942329147503583,1565.5733333333335,0.5602334861921036,0.5539553346500169,0.16625403708916975,0.3046613203614573
130,Malawi,Wheat,0.32373338933145657,1.3960761373983612,0.446425960069374,3.6635114924960868,92066.59333333334,0.9989468262595608,0.9989188054176092,0.16156189072301458,0.40317327736121683
