Reporter Country Code,Reporter Countries,baseline_t,from_india_t,remaining_suppliers,remaining_volume_t,share_lost,volume_gap_kt
53,Benin,2918437.98,1873782.655,29,1044655.325,0.6420498457877114,1873.782655
299,Palestine,103352.12,63902.09999999999,21,39450.02,0.6182950093331419,63.90209999999999
195,Senegal,1468727.51,904775.2549999999,23,563952.255,0.6160266277030515,904.7752549999999
221,Oman,466590.45999999996,274506.32499999995,25,192084.135,0.5883239125806387,274.50632499999995
7,Angola,996448.4149999999,541822.0449999999,33,454626.37,0.5437532308182756,541.8220449999999
209,Eswatini,74065.01,37858.75,9,36206.26,0.5111556725638733,37.85875
102,Iran (Islamic Republic of),2591336.34,1306648.5,3,1284687.84,0.5042373233572606,1306.6485
32,Cameroon,1591162.285,782964.335,28,808197.95,0.4920706972387798,782.964335
143,Morocco,106528.84,50251.009999999995,24,56277.83,0.4717127305619774,50.251009999999994
107,Côte d'Ivoire,2634447.6700000004,1237271.77,24,1397175.9000000001,0.4696512988622013,1237.27177
158,Niger,1471145.6500000001,671697.235,11,799448.415,0.4565810564032188,671.697235
147,Namibia,29245.89,12775.22,27,16470.67,0.43682103707563696,12.77522
75,Gambia,214547.53999999998,87189.435,45,127358.105,0.40638748409793,87.189435
101,Indonesia,506273.5800000001,202771.075,13,303502.505,0.4005168016075419,202.77107500000002
73,Georgia,20620.77,8245.865,24,12374.905,0.39988152721746084,8.245865
176,Timor-Leste,244489.445,96755.695,14,147733.75,0.39574589815114514,96.755695
200,Singapore,727322.295,281023.27,31,446299.025,0.3863806622344775,281.02327
230,Ukraine,151050.25,55825.055,37,95225.19499999999,0.3695793618348861,55.825055
216,Thailand,18171.025,6432.0599999999995,28,11738.965,0.35397342747588534,6.43206
114,Kenya,1280937.415,448234.47,24,832702.945,0.3499269088021759,448.23447
112,Jordan,406116.68,141852.52000000002,28,264264.16,0.34929006117158257,141.85252000000003
108,Kazakhstan,15720.6,5484.225,17,10236.375,0.3488559596961948,5.484225
144,Mozambique,2834297.7399999998,961929.0650000001,24,1872368.675,0.339388855103134,961.929065
91,Guyana,152.34,47.725,8,104.615,0.3132795063673362,0.047725000000000004
250,Democratic Republic of the Congo,327587.91000000003,102529.13500000001,24,225058.77500000002,0.31298204808596264,102.52913500000001
28,Myanmar,811.5,240.86,4,570.64,0.29680837954405426,0.24086000000000002
184,Rwanda,400168.59500000003,117098.025,25,283070.57,0.2926217261002203,117.09802499999999
131,Malaysia,2356233.4050000003,640870.525,15,1715362.88,0.2719894063296331,640.870525
57,Belarus,53333.66,14318.4,15,39015.26,0.2684683556313217,14.3184
37,Central African Republic,38321.329999999994,10093.199999999999,9,28228.129999999997,0.26338334290589605,10.0932
10,Australia,434156.155,112529.09,41,321627.065,0.25919035974510135,112.52909
236,Venezuela (Bolivarian Republic of),751615.55,194471.1,13,557144.45,0.25873746225713395,194.4711
136,Mauritania,51848.87,13064.515,13,38784.355,0.2519729938183802,13.064515
105,Israel,383734.515,85067.08000000002,28,298667.435,0.22168211790904452,85.06708000000002
229,United Kingdom of Great Britain and Northern Ireland,888967.6,194353.5,63,694614.1,0.218628327961559,194.3535
41,"China, mainland",8046511.079999999,1729901.795,16,6316609.284999999,0.2149878099714243,1729.901795
231,United States of America,2154109.2399999998,461522.83999999997,66,1692586.4,0.2142522911233601,461.52284
202,South Africa,2023734.965,409401.615,52,1614333.3499999999,0.20230001560505725,409.401615
272,Serbia,23212.149999999998,4608.59,21,18603.559999999998,0.19854214280021457,4.60859
193,Sao Tome and Principe,21933.625,4150.35,18,17783.275,0.1892231676250506,4.15035
121,Lebanon,131300.395,24797.21,39,106503.185,0.188858609298167,24.79721
223,Türkiye,774421.7350000001,145866.69,47,628555.045,0.18835562511684925,145.86669
134,Malta,6981.905,1293.01,20,5688.8949999999995,0.18519444191807252,1.29301
29,Burundi,22526.955,4110.86,18,18416.095,0.1824862703370251,4.11086
33,Canada,862373.475,148182.08000000002,85,714191.3949999999,0.17183051693467266,148.18208
66,Fiji,86758.94,14781.055,13,71977.885,0.17036924379205187,14.781055
50,Cyprus,15830.605,2589.37,33,13241.235,0.1635673431306005,2.5893699999999997
156,New Zealand,103139.76,16698.795,39,86440.965,0.16190453613620973,16.698794999999997
168,Papua New Guinea,565922.735,89716.54,19,476206.195,0.1585314292064976,89.71654
150,Netherlands (Kingdom of the),661359.535,103283.09,79,558076.4450000001,0.1561678399329345,103.28309
104,Ireland,49441.52,7358.995,55,42082.524999999994,0.14884241018480016,7.358995
80,Bosnia and Herzegovina,14296.71,1990.0,25,12306.71,0.13919286325315405,1.99
45,Comoros,64256.6,8909.84,7,55346.76,0.13866030882430755,8.90984
130,Malawi,1881.45,255.385,20,1626.065,0.13573839326051715,0.255385
1,Armenia,19584.325,2498.2799999999997,22,17086.045,0.12756528499195147,2.49828
